,method,path,operationId,summary,params,security,tags
2,POST,/createAllotmentBlock,,createAllotmentBlock,,"[{""api_key"": [""write:allotmentBlock""]}, {""OAuth2"": [""write:allotmentBlock""]}]",AllotmentBlocks
3,POST,/createAllotmentBlockNotes,,createAllotmentBlockNotes,,"[{""api_key"": [""read:allotmentBlock""]}, {""OAuth2"": [""read:allotmentBlock""]}]",AllotmentBlocks
5,POST,/deleteAllotmentBlock,,deleteAllotmentBlock,,"[{""api_key"": [""write:allotmentBlock""]}, {""OAuth2"": [""write:allotmentBlock""]}]",AllotmentBlocks
6,POST,/deleteAppPropertySettings,,deleteAppPropertySettings,,"[{""api_key"": [""delete:appPropertySettings""]}, {""OAuth2"": [""delete:appPropertySettings""]}]",AppSettings
7,DELETE,/deleteGuestNote,,deleteGuestNote,"propertyID, guestID, noteID","[{""api_key"": [""write:guest""]}, {""OAuth2"": [""write:guest""]}]",Guest
8,DELETE,/deleteReservationNote,,deleteReservationNote,"propertyID, reservationID, reservationNoteID","[{""api_key"": [""write:reservation""]}, {""OAuth2"": [""write:reservation""]}]",Reservation
9,DELETE,/deleteRoomBlock,,deleteRoomBlock,"propertyID, roomBlockID","[{""api_key"": [""delete:roomblock""]}, {""OAuth2"": [""delete:roomblock""]}]",Room
11,GET,/getAllotmentBlocks,,getAllotmentBlocks,"propertyID, allotmentBlockCode, allotmentBlockName, groupCode, allotmentBlockStatus, allotmentBlockType, roomTypeID, pageSize, pageNumber, startDate, endDate","[{""api_key"": [""read:allotmentBlock""]}, {""OAuth2"": [""read:allotmentBlock""]}]",AllotmentBlocks
12,GET,/getAppPropertySettings,,getAppPropertySettings,"propertyID, key","[{""api_key"": [""read:appPropertySettings""]}, {""OAuth2"": [""read:appPropertySettings""]}]",AppSettings
15,GET,/getAvailableRoomTypes,,getAvailableRoomTypes,"propertyIDs, startDate, endDate, rooms, adults, children, promoCode, detailedRates, includeSharedRooms, sort, order, minRate, maxRate, pageNumber, pageSize","[{""api_key"": [""read:room""]}, {""OAuth2"": [""read:room""]}]",Room
22,GET,/getGroupNotes,,getGroupNotes,"propertyID, groupCode, pageSize, pageNumber","[{""api_key"": [""read:group""]}, {""OAuth2"": [""read:group""]}]",Groups
24,GET,/getGuest,,getGuest,"propertyID, reservationID, guestID, includeGuestRequirements","[{""api_key"": [""read:guest""]}, {""OAuth2"": [""read:guest""]}]",Guest
25,GET,/getGuestList,,getGuestList,"propertyIDs, resultsFrom, resultsTo, checkInFrom, checkInTo, checkOutFrom, checkOutTo, guestFirstName, guestLastName, guestEmail, guestPhone, guestCellPhone, status, sortBy, includeGuestInfo, excludeSecondaryGuests, includeGuestRequirements, pageNumber, pageSize","[{""api_key"": [""read:guest""]}, {""OAuth2"": [""read:guest""]}]",Guest
26,GET,/getGuestNotes,,getGuestNotes,"propertyID, guestID","[{""api_key"": [""read:guest""]}, {""OAuth2"": [""read:guest""]}]",Guest
27,GET,/getGuestsByFilter,,getGuestsByFilter,"propertyIDs, status, reservationID, roomID, guestName, checkInFrom, checkInTo, checkOutFrom, checkOutTo","[{""api_key"": [""read:guest""]}, {""OAuth2"": [""read:guest""]}]",Guest
28,GET,/getGuestsByStatus,,getGuestsByStatus,"status, propertyID, resultsFrom, resultsTo, pageNumber, pageSize","[{""api_key"": [""read:guest""]}, {""OAuth2"": [""read:guest""]}]",Guest
29,GET,/getGuestsModified,,getGuestsModified,"propertyIDs, inHouse, resultsFrom, resultsTo, checkInFrom, checkInTo, checkOutFrom, checkOutTo, includeGuestRequirements, pageNumber, pageSize","[{""api_key"": [""read:guest""]}, {""OAuth2"": [""read:guest""]}]",Guest
30,GET,/getHotelDetails,,getHotelDetails,propertyID,"[{""api_key"": [""read:hotel""]}, {""OAuth2"": [""read:hotel""]}]",Hotel
31,GET,/getHotels,,getHotels,"propertyIDs, propertyName, propertyCity, pageNumber, pageSize","[{""api_key"": [""read:hotel""]}, {""OAuth2"": [""read:hotel""]}]",Hotel
40,GET,/getPaymentMethods,,getPaymentMethods,"propertyID, lang","[{""api_key"": [""read:payment""]}, {""OAuth2"": [""read:payment""]}]",Payment
41,GET,/getPaymentsCapabilities,,getPaymentsCapabilities,propertyID,"[{""api_key"": [""read:payment""]}, {""OAuth2"": [""read:payment""]}]",Payment
42,GET,/getRate,,getRate,"roomTypeID, startDate, endDate, adults, children, detailedRates, promoCode","[{""api_key"": [""read:rate""]}, {""OAuth2"": [""read:rate""]}]",Rate
43,GET,/getRateJobs,,getRateJobs,"jobReferenceID, status","[{""api_key"": [""read:rate""]}, {""OAuth2"": [""read:rate""]}]",Rate
44,GET,/getRatePlans,,getRatePlans,"propertyIDs, rateIDs, roomTypeID, promoCode, includePromoCode, startDate, endDate, adults, children, detailedRates, includeSharedRooms","[{""api_key"": [""read:rate""]}, {""OAuth2"": [""read:rate""]}]",Rate
45,GET,/getReservation,,getReservation,"propertyID, reservationID, includeGuestRequirements","[{""api_key"": [""read:reservation""]}, {""OAuth2"": [""read:reservation""]}]",Reservation
46,GET,/getReservationAssignments,,getReservationAssignments,"propertyID, date","[{""api_key"": [""read:reservation""]}, {""OAuth2"": [""read:reservation""]}]",Reservation
47,GET,/getReservationNotes,,getReservationNotes,"propertyID, reservationID","[{""api_key"": [""read:reservation""]}, {""OAuth2"": [""read:reservation""]}]",Reservation
48,GET,/getReservationRoomDetails,,getReservationRoomDetails,"propertyID, subReservationID","[{""api_key"": [""read:room""]}, {""OAuth2"": [""read:room""]}]",Room
